Glut,40
Feuerwirbel,35
Flammenrad,60
Flammenwurf,90
Feuersturm,110
Nitroladung,50
Feuerfeger,85
Feuerschlag,75
Hitzewelle,95
Lohekanonade,150
Eruption,150
Läuterfeuer,100
Hitzekoller,130
Magmasturm,100
Feuerzahn,65
Flammensturm,80
Feuerball,120
Rüstungskanone,120
Bitterklinge,90
Zornesklinge,75
Blaues Feuer,130
Blitzschlag,130
V-Generator,180
Kreuzflamme,100
Einäschern,60
Funkenflug,70
Hitzesphäre,0
Brandstempel,0
Mystoflamme,75
Schmelzblick,0
Treibsand,70
Sonnentag,0
Irrlicht,0
Sonnenwende,0
Feuerschild,0
Läuterung,0
Magmaschild,0
Fegfeuer,100
